
"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Lung and Bronchus","Age 35","Age <br/>55",0.340
"Lung and Bronchus","Age 35","Age <br/>60",0.714
"Lung and Bronchus","Age 35","Age <br/>65",1.292
"Lung and Bronchus","Age 35","Age <br/>70",2.156
"Lung and Bronchus","Age 35","Age <br/>75",3.286
"Lung and Bronchus","Age 35","Age <br/>80",4.478
"Lung and Bronchus","Age 35","Age <br/>85",5.473
"Lung and Bronchus","Age 35","Age <br/>90",6.082
"Lung and Bronchus","Age 35","Age <br/>95",6.321
"Lung and Bronchus","Age 35","Age <br/>95+",6.406
"Lung and Bronchus","Age 40","Age <br/>5",
"Lung and Bronchus","Age 40","Age <br/>10",
"Lung and Bronchus","Age 40","Age <br/>15",
"Lung and Bronchus","Age 40","Age <br/>20",
"Lung and Bronchus","Age 40","Age <br/>25",
"Lung and Bronchus","Age 40","Age <br/>30",
"Lung and Bronchus","Age 40","Age <br/>35",
"Lung and Bronchus","Age 40","Age <br/>40",
"Lung and Bronchus","Age 40","Age <br/>45",0.034
"Lung and Bronchus","Age 40","Age <br/>50",0.122
"Lung and Bronchus","Age 40","Age <br/>55",0.328
"Lung and Bronchus","Age 40","Age <br/>60",0.705
"Lung and Bronchus","Age 40","Age <br/>65",1.286
"Lung and Bronchus","Age 40","Age <br/>70",2.157
"Lung and Bronchus","Age 40","Age <br/>75",3.295
"Lung and Bronchus","Age 40","Age <br/>80",4.495
"Lung and Bronchus","Age 40","Age <br/>85",5.498
"Lung and Bronchus","Age 40","Age <br/>90",6.110
"Lung and Bronchus","Age 40","Age <br/>95",6.351
"Lung and Bronchus","Age 40","Age <br/>95+",6.437
"Lung and Bronchus","Age 45","Age <br/>5",
"Lung and Bronchus","Age 45","Age <br/>10",
"Lung and Bronchus","Age 45","Age <br/>15",
"Lung and Bronchus","Age 45","Age <br/>20",
"Lung and Bronchus","Age 45","Age <br/>25",
"Lung and Bronchus","Age 45","Age <br/>30",
"Lung and Bronchus","Age 45","Age <br/>35",
"Lung and Bronchus","Age 45","Age <br/>40",
